query,result,rank,click,dwell_time,relevance,ctr,adjusted_relevance
best programming languages 2025,Top programming languages,2,0,0,0,0.0,0
best programming languages 2025,Most in-demand coding skills,3,0,0,0,0.0,0
learn python,Python tutorial,1,0,0,0,0.0,0
learn python,Learn Python fast,2,0,0,0,0.0,0
learn python,Python for beginners,3,1,58,1,0.003246753246753247,58
learn python,Python tutorial,1,1,44,1,0.003246753246753247,44
learn python,Learn Python fast,2,1,54,1,0.003246753246753247,54
learn python,Python for beginners,3,1,35,1,0.003246753246753247,35
weather new york,NYC weather today,1,1,16,1,0.0033112582781456954,16
weather new york,Weather forecast,2,1,8,1,0.0033112582781456954,8
weather new york,New York climate,3,1,18,1,0.0033112582781456954,18
best programming languages 2025,Best languages to learn,1,0,0,1,0.0,0
best programming languages 2025,Top programming languages,2,0,0,0,0.0,0
best programming languages 2025,Most in-demand coding skills,3,0,0,1,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,1,32,1,0.003246753246753247,32
cheap flights tokyo,Cheapest Tokyo flights,2,1,3,1,0.003246753246753247,3
cheap flights tokyo,Best airlines to Japan,3,0,0,1,0.0,0
best programming languages 2025,Best languages to learn,1,0,0,0,0.0,0
best programming languages 2025,Top programming languages,2,0,0,0,0.0,0
best programming languages 2025,Most in-demand coding skills,3,0,0,1,0.0,0
weather new york,NYC weather today,1,0,0,1,0.0,0
weather new york,Weather forecast,2,1,48,1,0.0033112582781456954,48
weather new york,New York climate,3,1,2,1,0.0033112582781456954,2
cheap flights tokyo,Flight deals to Tokyo,1,0,0,0,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,0,0.0,0
cheap flights tokyo,Best airlines to Japan,3,1,52,1,0.003246753246753247,52
best laptop gaming,Laptop A review,1,1,11,1,0.003355704697986577,11
best laptop gaming,Laptop B specs,2,1,29,1,0.003355704697986577,29
best laptop gaming,Top gaming laptops,3,0,0,1,0.0,0
best laptop gaming,Laptop A review,1,0,0,0,0.0,0
best laptop gaming,Laptop B specs,2,1,14,1,0.003355704697986577,14
best laptop gaming,Top gaming laptops,3,0,0,0,0.0,0
best programming languages 2025,Best languages to learn,1,0,0,1,0.0,0
best programming languages 2025,Top programming languages,2,0,0,0,0.0,0
best programming languages 2025,Most in-demand coding skills,3,0,0,0,0.0,0
learn python,Python tutorial,1,0,0,1,0.0,0
learn python,Learn Python fast,2,0,0,0,0.0,0
learn python,Python for beginners,3,1,15,1,0.003246753246753247,15
cheap flights tokyo,Flight deals to Tokyo,1,0,0,0,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,0,0.0,0
cheap flights tokyo,Best airlines to Japan,3,1,29,1,0.003246753246753247,29
best laptop gaming,Laptop A review,1,1,10,1,0.003355704697986577,10
best laptop gaming,Laptop B specs,2,1,51,1,0.003355704697986577,51
best laptop gaming,Top gaming laptops,3,1,15,1,0.003355704697986577,15
best programming languages 2025,Best languages to learn,1,0,0,1,0.0,0
best programming languages 2025,Top programming languages,2,0,0,0,0.0,0
best programming languages 2025,Most in-demand coding skills,3,1,16,1,0.0031545741324921135,16
learn python,Python tutorial,1,1,7,1,0.003246753246753247,7
learn python,Learn Python fast,2,0,0,1,0.0,0
learn python,Python for beginners,3,1,46,1,0.003246753246753247,46
best laptop gaming,Laptop A review,1,0,0,1,0.0,0
best laptop gaming,Laptop B specs,2,0,0,1,0.0,0
best laptop gaming,Top gaming laptops,3,1,49,1,0.003355704697986577,49
weather new york,NYC weather today,1,0,0,0,0.0,0
weather new york,Weather forecast,2,0,0,0,0.0,0
weather new york,New York climate,3,0,0,0,0.0,0
weather new york,NYC weather today,1,0,0,0,0.0,0
weather new york,Weather forecast,2,1,51,1,0.0033112582781456954,51
weather new york,New York climate,3,1,27,1,0.0033112582781456954,27
learn python,Python tutorial,1,0,0,0,0.0,0
learn python,Learn Python fast,2,0,0,1,0.0,0
learn python,Python for beginners,3,1,43,1,0.003246753246753247,43
weather new york,NYC weather today,1,0,0,1,0.0,0
weather new york,Weather forecast,2,1,14,1,0.0033112582781456954,14
weather new york,New York climate,3,1,56,1,0.0033112582781456954,56
cheap flights tokyo,Flight deals to Tokyo,1,0,0,0,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,1,36,1,0.003246753246753247,36
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,1,60,1,0.003246753246753247,60
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,1,0.0,0
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0
best programming languages 2025,Best languages to learn,1,1,7,1,0.0031545741324921135,7
best programming languages 2025,Top programming languages,2,0,0,1,0.0,0
best programming languages 2025,Most in-demand coding skills,3,1,22,1,0.0031545741324921135,22
best programming languages 2025,Best languages to learn,1,1,37,1,0.0031545741324921135,37
best programming languages 2025,Top programming languages,2,1,19,1,0.0031545741324921135,19
best programming languages 2025,Most in-demand coding skills,3,1,43,1,0.0031545741324921135,43
best programming languages 2025,Best languages to learn,1,0,0,1,0.0,0
best programming languages 2025,Top programming languages,2,0,0,1,0.0,0
best programming languages 2025,Most in-demand coding skills,3,1,50,1,0.0031545741324921135,50
best programming languages 2025,Best languages to learn,1,1,4,1,0.0031545741324921135,4
best programming languages 2025,Top programming languages,2,0,0,0,0.0,0
best programming languages 2025,Most in-demand coding skills,3,0,0,0,0.0,0
best laptop gaming,Laptop A review,1,1,39,1,0.003355704697986577,39
best laptop gaming,Laptop B specs,2,1,8,1,0.003355704697986577,8
best laptop gaming,Top gaming laptops,3,1,20,1,0.003355704697986577,20
best programming languages 2025,Best languages to learn,1,1,14,1,0.0031545741324921135,14
best programming languages 2025,Top programming languages,2,0,0,0,0.0,0
best programming languages 2025,Most in-demand coding skills,3,0,0,1,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,0,0,1,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,0,0.0,0
cheap flights tokyo,Best airlines to Japan,3,0,0,1,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,1,43,1,0.003246753246753247,43
cheap flights tokyo,Cheapest Tokyo flights,2,1,10,1,0.003246753246753247,10
cheap flights tokyo,Best airlines to Japan,3,0,0,1,0.0,0
weather new york,NYC weather today,1,0,0,0,0.0,0
weather new york,Weather forecast,2,0,0,1,0.0,0
weather new york,New York climate,3,1,28,1,0.0033112582781456954,28
cheap flights tokyo,Flight deals to Tokyo,1,0,0,1,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,0,0.0,0
cheap flights tokyo,Best airlines to Japan,3,1,10,1,0.003246753246753247,10
learn python,Python tutorial,1,0,0,1,0.0,0
learn python,Learn Python fast,2,1,29,1,0.003246753246753247,29
learn python,Python for beginners,3,1,35,1,0.003246753246753247,35
best laptop gaming,Laptop A review,1,1,35,1,0.003355704697986577,35
best laptop gaming,Laptop B specs,2,1,27,1,0.003355704697986577,27
best laptop gaming,Top gaming laptops,3,0,0,0,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,1,45,1,0.003246753246753247,45
cheap flights tokyo,Cheapest Tokyo flights,2,1,51,1,0.003246753246753247,51
cheap flights tokyo,Best airlines to Japan,3,0,0,1,0.0,0
learn python,Python tutorial,1,1,2,1,0.003246753246753247,2
learn python,Learn Python fast,2,1,33,1,0.003246753246753247,33
learn python,Python for beginners,3,1,9,1,0.003246753246753247,9
learn python,Python tutorial,1,0,0,0,0.0,0
learn python,Learn Python fast,2,0,0,1,0.0,0
learn python,Python for beginners,3,1,52,1,0.003246753246753247,52
weather new york,NYC weather today,1,1,42,1,0.0033112582781456954,42
weather new york,Weather forecast,2,1,17,1,0.0033112582781456954,17
weather new york,New York climate,3,1,44,1,0.0033112582781456954,44
best laptop gaming,Laptop A review,1,1,23,1,0.003355704697986577,23
best laptop gaming,Laptop B specs,2,0,0,0,0.0,0
best laptop gaming,Top gaming laptops,3,1,16,1,0.003355704697986577,16
weather new york,NYC weather today,1,1,41,1,0.0033112582781456954,41
weather new york,Weather forecast,2,1,49,1,0.0033112582781456954,49
weather new york,New York climate,3,0,0,1,0.0,0
weather new york,NYC weather today,1,0,0,0,0.0,0
weather new york,Weather forecast,2,0,0,0,0.0,0
weather new york,New York climate,3,0,0,1,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,0,0,1,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,1,0.0,0
cheap flights tokyo,Best airlines to Japan,3,1,4,1,0.003246753246753247,4
cheap flights tokyo,Flight deals to Tokyo,1,0,0,1,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,1,10,1,0.003246753246753247,10
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0
weather new york,NYC weather today,1,0,0,0,0.0,0
weather new york,Weather forecast,2,1,38,1,0.0033112582781456954,38
weather new york,New York climate,3,1,58,1,0.0033112582781456954,58
learn python,Python tutorial,1,1,29,1,0.003246753246753247,29
learn python,Learn Python fast,2,1,3,1,0.003246753246753247,3
learn python,Python for beginners,3,0,0,1,0.0,0
weather new york,NYC weather today,1,0,0,1,0.0,0
weather new york,Weather forecast,2,1,20,1,0.0033112582781456954,20
weather new york,New York climate,3,0,0,1,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,1,36,1,0.003246753246753247,36
cheap flights tokyo,Cheapest Tokyo flights,2,1,40,1,0.003246753246753247,40
cheap flights tokyo,Best airlines to Japan,3,1,20,1,0.003246753246753247,20
cheap flights tokyo,Flight deals to Tokyo,1,1,24,1,0.003246753246753247,24
cheap flights tokyo,Cheapest Tokyo flights,2,1,44,1,0.003246753246753247,44
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0
weather new york,NYC weather today,1,0,0,1,0.0,0
weather new york,Weather forecast,2,1,30,1,0.0033112582781456954,30
weather new york,New York climate,3,0,0,1,0.0,0
best programming languages 2025,Best languages to learn,1,1,51,1,0.0031545741324921135,51
best programming languages 2025,Top programming languages,2,0,0,0,0.0,0
best programming languages 2025,Most in-demand coding skills,3,1,48,1,0.0031545741324921135,48
best programming languages 2025,Best languages to learn,1,1,43,1,0.0031545741324921135,43
best programming languages 2025,Top programming languages,2,1,59,1,0.0031545741324921135,59
best programming languages 2025,Most in-demand coding skills,3,0,0,0,0.0,0
learn python,Python tutorial,1,0,0,1,0.0,0
learn python,Learn Python fast,2,1,22,1,0.003246753246753247,22
learn python,Python for beginners,3,0,0,0,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,1,42,1,0.003246753246753247,42
cheap flights tokyo,Cheapest Tokyo flights,2,1,42,1,0.003246753246753247,42
cheap flights tokyo,Best airlines to Japan,3,1,6,1,0.003246753246753247,6
best programming languages 2025,Best languages to learn,1,1,47,1,0.0031545741324921135,47
best programming languages 2025,Top programming languages,2,1,22,1,0.0031545741324921135,22
best programming languages 2025,Most in-demand coding skills,3,0,0,1,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,0,0,1,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,1,0.0,0
cheap flights tokyo,Best airlines to Japan,3,1,7,1,0.003246753246753247,7
weather new york,NYC weather today,1,1,43,1,0.0033112582781456954,43
weather new york,Weather forecast,2,1,8,1,0.0033112582781456954,8
weather new york,New York climate,3,1,33,1,0.0033112582781456954,33
learn python,Python tutorial,1,0,0,1,0.0,0
learn python,Learn Python fast,2,1,7,1,0.003246753246753247,7
learn python,Python for beginners,3,1,7,1,0.003246753246753247,7
cheap flights tokyo,Flight deals to Tokyo,1,0,0,1,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,0,0.0,0
cheap flights tokyo,Best airlines to Japan,3,1,14,1,0.003246753246753247,14
weather new york,NYC weather today,1,1,29,1,0.0033112582781456954,29
weather new york,Weather forecast,2,0,0,1,0.0,0
weather new york,New York climate,3,1,25,1,0.0033112582781456954,25
learn python,Python tutorial,1,0,0,1,0.0,0
learn python,Learn Python fast,2,0,0,0,0.0,0
learn python,Python for beginners,3,0,0,1,0.0,0
best programming languages 2025,Best languages to learn,1,0,0,0,0.0,0
best programming languages 2025,Top programming languages,2,0,0,1,0.0,0
best programming languages 2025,Most in-demand coding skills,3,0,0,0,0.0,0
best programming languages 2025,Best languages to learn,1,0,0,0,0.0,0
best programming languages 2025,Top programming languages,2,1,45,1,0.0031545741324921135,45
best programming languages 2025,Most in-demand coding skills,3,1,20,1,0.0031545741324921135,20
best programming languages 2025,Best languages to learn,1,0,0,0,0.0,0
best programming languages 2025,Top programming languages,2,0,0,1,0.0,0
best programming languages 2025,Most in-demand coding skills,3,1,46,1,0.0031545741324921135,46
weather new york,NYC weather today,1,1,2,1,0.0033112582781456954,2
weather new york,Weather forecast,2,0,0,1,0.0,0
weather new york,New York climate,3,1,40,1,0.0033112582781456954,40
cheap flights tokyo,Flight deals to Tokyo,1,1,56,1,0.003246753246753247,56
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,1,0.0,0
cheap flights tokyo,Best airlines to Japan,3,1,48,1,0.003246753246753247,48
best programming languages 2025,Best languages to learn,1,1,50,1,0.0031545741324921135,50
best programming languages 2025,Top programming languages,2,0,0,0,0.0,0
best programming languages 2025,Most in-demand coding skills,3,0,0,1,0.0,0
best programming languages 2025,Best languages to learn,1,1,39,1,0.0031545741324921135,39
best programming languages 2025,Top programming languages,2,0,0,0,0.0,0
best programming languages 2025,Most in-demand coding skills,3,1,12,1,0.0031545741324921135,12
best laptop gaming,Laptop A review,1,1,46,1,0.003355704697986577,46
best laptop gaming,Laptop B specs,2,0,0,1,0.0,0
best laptop gaming,Top gaming laptops,3,1,4,1,0.003355704697986577,4
learn python,Python tutorial,1,0,0,0,0.0,0
learn python,Learn Python fast,2,0,0,1,0.0,0
learn python,Python for beginners,3,1,55,1,0.003246753246753247,55
weather new york,NYC weather today,1,1,56,1,0.0033112582781456954,56
weather new york,Weather forecast,2,0,0,1,0.0,0
weather new york,New York climate,3,1,55,1,0.0033112582781456954,55
learn python,Python tutorial,1,1,46,1,0.003246753246753247,46
learn python,Learn Python fast,2,1,15,1,0.003246753246753247,15
learn python,Python for beginners,3,1,20,1,0.003246753246753247,20
weather new york,NYC weather today,1,1,40,1,0.0033112582781456954,40
weather new york,Weather forecast,2,1,22,1,0.0033112582781456954,22
weather new york,New York climate,3,0,0,0,0.0,0
best programming languages 2025,Best languages to learn,1,0,0,1,0.0,0
best programming languages 2025,Top programming languages,2,0,0,0,0.0,0
best programming languages 2025,Most in-demand coding skills,3,0,0,1,0.0,0
best programming languages 2025,Best languages to learn,1,0,0,1,0.0,0
best programming languages 2025,Top programming languages,2,0,0,0,0.0,0
best programming languages 2025,Most in-demand coding skills,3,0,0,0,0.0,0
best programming languages 2025,Best languages to learn,1,1,10,1,0.0031545741324921135,10
best programming languages 2025,Top programming languages,2,1,9,1,0.0031545741324921135,9
best programming languages 2025,Most in-demand coding skills,3,1,48,1,0.0031545741324921135,48
cheap flights tokyo,Flight deals to Tokyo,1,1,25,1,0.003246753246753247,25
cheap flights tokyo,Cheapest Tokyo flights,2,1,2,1,0.003246753246753247,2
cheap flights tokyo,Best airlines to Japan,3,1,21,1,0.003246753246753247,21
best laptop gaming,Laptop A review,1,1,6,1,0.003355704697986577,6
best laptop gaming,Laptop B specs,2,1,7,1,0.003355704697986577,7
best laptop gaming,Top gaming laptops,3,1,17,1,0.003355704697986577,17
cheap flights tokyo,Flight deals to Tokyo,1,0,0,0,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,1,20,1,0.003246753246753247,20
cheap flights tokyo,Best airlines to Japan,3,0,0,1,0.0,0
best programming languages 2025,Best languages to learn,1,1,5,1,0.0031545741324921135,5
best programming languages 2025,Top programming languages,2,1,60,1,0.0031545741324921135,60
best programming languages 2025,Most in-demand coding skills,3,1,59,1,0.0031545741324921135,59
cheap flights tokyo,Flight deals to Tokyo,1,1,30,1,0.003246753246753247,30
cheap flights tokyo,Cheapest Tokyo flights,2,1,13,1,0.003246753246753247,13
cheap flights tokyo,Best airlines to Japan,3,0,0,1,0.0,0
weather new york,NYC weather today,1,1,52,1,0.0033112582781456954,52
weather new york,Weather forecast,2,0,0,0,0.0,0
weather new york,New York climate,3,0,0,1,0.0,0
best laptop gaming,Laptop A review,1,1,10,1,0.003355704697986577,10
best laptop gaming,Laptop B specs,2,1,23,1,0.003355704697986577,23
best laptop gaming,Top gaming laptops,3,0,0,0,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,0,0,1,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,1,17,1,0.003246753246753247,17
cheap flights tokyo,Best airlines to Japan,3,1,16,1,0.003246753246753247,16
best programming languages 2025,Best languages to learn,1,1,6,1,0.0031545741324921135,6
best programming languages 2025,Top programming languages,2,0,0,1,0.0,0
best programming languages 2025,Most in-demand coding skills,3,1,24,1,0.0031545741324921135,24
best programming languages 2025,Best languages to learn,1,0,0,0,0.0,0
best programming languages 2025,Top programming languages,2,1,57,1,0.0031545741324921135,57
best programming languages 2025,Most in-demand coding skills,3,1,55,1,0.0031545741324921135,55
cheap flights tokyo,Flight deals to Tokyo,1,1,29,1,0.003246753246753247,29
cheap flights tokyo,Cheapest Tokyo flights,2,1,59,1,0.003246753246753247,59
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0
learn python,Python tutorial,1,1,21,1,0.003246753246753247,21
learn python,Learn Python fast,2,0,0,1,0.0,0
learn python,Python for beginners,3,0,0,0,0.0,0
learn python,Python tutorial,1,0,0,0,0.0,0
learn python,Learn Python fast,2,1,16,1,0.003246753246753247,16
learn python,Python for beginners,3,1,32,1,0.003246753246753247,32
weather new york,NYC weather today,1,0,0,0,0.0,0
weather new york,Weather forecast,2,0,0,0,0.0,0
weather new york,New York climate,3,0,0,0,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,1,57,1,0.003246753246753247,57
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,0,0.0,0
cheap flights tokyo,Best airlines to Japan,3,0,0,1,0.0,0
weather new york,NYC weather today,1,0,0,1,0.0,0
weather new york,Weather forecast,2,1,43,1,0.0033112582781456954,43
weather new york,New York climate,3,1,31,1,0.0033112582781456954,31
weather new york,NYC weather today,1,0,0,0,0.0,0
weather new york,Weather forecast,2,0,0,0,0.0,0
weather new york,New York climate,3,0,0,1,0.0,0
best laptop gaming,Laptop A review,1,1,39,1,0.003355704697986577,39
best laptop gaming,Laptop B specs,2,1,59,1,0.003355704697986577,59
best laptop gaming,Top gaming laptops,3,1,25,1,0.003355704697986577,25
best laptop gaming,Laptop A review,1,1,41,1,0.003355704697986577,41
best laptop gaming,Laptop B specs,2,1,39,1,0.003355704697986577,39
best laptop gaming,Top gaming laptops,3,0,0,0,0.0,0
best programming languages 2025,Best languages to learn,1,1,49,1,0.0031545741324921135,49
best programming languages 2025,Top programming languages,2,1,46,1,0.0031545741324921135,46
best programming languages 2025,Most in-demand coding skills,3,1,31,1,0.0031545741324921135,31
weather new york,NYC weather today,1,0,0,0,0.0,0
weather new york,Weather forecast,2,0,0,0,0.0,0
weather new york,New York climate,3,0,0,0,0.0,0
best laptop gaming,Laptop A review,1,0,0,1,0.0,0
best laptop gaming,Laptop B specs,2,1,34,1,0.003355704697986577,34
best laptop gaming,Top gaming laptops,3,0,0,0,0.0,0
best programming languages 2025,Best languages to learn,1,0,0,0,0.0,0
best programming languages 2025,Top programming languages,2,0,0,1,0.0,0
best programming languages 2025,Most in-demand coding skills,3,0,0,1,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,0,0,1,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,0,0.0,0
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0
learn python,Python tutorial,1,0,0,0,0.0,0
learn python,Learn Python fast,2,0,0,0,0.0,0
learn python,Python for beginners,3,1,7,1,0.003246753246753247,7
best programming languages 2025,Best languages to learn,1,1,46,1,0.0031545741324921135,46
best programming languages 2025,Top programming languages,2,1,29,1,0.0031545741324921135,29
best programming languages 2025,Most in-demand coding skills,3,0,0,0,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,0,0,1,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,1,12,1,0.003246753246753247,12
cheap flights tokyo,Best airlines to Japan,3,0,0,1,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,1,20,1,0.003246753246753247,20
cheap flights tokyo,Cheapest Tokyo flights,2,1,30,1,0.003246753246753247,30
cheap flights tokyo,Best airlines to Japan,3,1,23,1,0.003246753246753247,23
best programming languages 2025,Best languages to learn,1,1,26,1,0.0031545741324921135,26
best programming languages 2025,Top programming languages,2,1,41,1,0.0031545741324921135,41
best programming languages 2025,Most in-demand coding skills,3,1,50,1,0.0031545741324921135,50
best programming languages 2025,Best languages to learn,1,1,59,1,0.0031545741324921135,59
best programming languages 2025,Top programming languages,2,0,0,0,0.0,0
best programming languages 2025,Most in-demand coding skills,3,1,54,1,0.0031545741324921135,54
best laptop gaming,Laptop A review,1,0,0,0,0.0,0
best laptop gaming,Laptop B specs,2,0,0,1,0.0,0
best laptop gaming,Top gaming laptops,3,0,0,0,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,0,0,0,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,1,53,1,0.003246753246753247,53
cheap flights tokyo,Best airlines to Japan,3,1,46,1,0.003246753246753247,46
cheap flights tokyo,Flight deals to Tokyo,1,1,22,1,0.003246753246753247,22
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,1,0.0,0
cheap flights tokyo,Best airlines to Japan,3,1,40,1,0.003246753246753247,40
best laptop gaming,Laptop A review,1,0,0,1,0.0,0
best laptop gaming,Laptop B specs,2,1,11,1,0.003355704697986577,11
best laptop gaming,Top gaming laptops,3,1,17,1,0.003355704697986577,17
best programming languages 2025,Best languages to learn,1,1,42,1,0.0031545741324921135,42
best programming languages 2025,Top programming languages,2,0,0,0,0.0,0
best programming languages 2025,Most in-demand coding skills,3,0,0,0,0.0,0
learn python,Python tutorial,1,0,0,1,0.0,0
learn python,Learn Python fast,2,0,0,1,0.0,0
learn python,Python for beginners,3,0,0,0,0.0,0
best laptop gaming,Laptop A review,1,1,41,1,0.003355704697986577,41
best laptop gaming,Laptop B specs,2,1,16,1,0.003355704697986577,16
best laptop gaming,Top gaming laptops,3,0,0,0,0.0,0
weather new york,NYC weather today,1,0,0,0,0.0,0
weather new york,Weather forecast,2,1,50,1,0.0033112582781456954,50
weather new york,New York climate,3,1,31,1,0.0033112582781456954,31
best laptop gaming,Laptop A review,1,1,26,1,0.003355704697986577,26
best laptop gaming,Laptop B specs,2,1,21,1,0.003355704697986577,21
best laptop gaming,Top gaming laptops,3,0,0,0,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,0,0,0,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,1,0.0,0
cheap flights tokyo,Best airlines to Japan,3,0,0,1,0.0,0
best laptop gaming,Laptop A review,1,1,21,1,0.003355704697986577,21
best laptop gaming,Laptop B specs,2,1,23,1,0.003355704697986577,23
best laptop gaming,Top gaming laptops,3,1,20,1,0.003355704697986577,20
learn python,Python tutorial,1,1,48,1,0.003246753246753247,48
learn python,Learn Python fast,2,0,0,0,0.0,0
learn python,Python for beginners,3,1,35,1,0.003246753246753247,35
best programming languages 2025,Best languages to learn,1,0,0,0,0.0,0
best programming languages 2025,Top programming languages,2,1,40,1,0.0031545741324921135,40
best programming languages 2025,Most in-demand coding skills,3,0,0,0,0.0,0
weather new york,NYC weather today,1,0,0,1,0.0,0
weather new york,Weather forecast,2,1,23,1,0.0033112582781456954,23
weather new york,New York climate,3,1,33,1,0.0033112582781456954,33
best laptop gaming,Laptop A review,1,1,47,1,0.003355704697986577,47
best laptop gaming,Laptop B specs,2,1,22,1,0.003355704697986577,22
best laptop gaming,Top gaming laptops,3,0,0,0,0.0,0
best laptop gaming,Laptop A review,1,0,0,0,0.0,0
best laptop gaming,Laptop B specs,2,0,0,1,0.0,0
best laptop gaming,Top gaming laptops,3,1,47,1,0.003355704697986577,47
learn python,Python tutorial,1,0,0,0,0.0,0
learn python,Learn Python fast,2,1,60,1,0.003246753246753247,60
learn python,Python for beginners,3,1,26,1,0.003246753246753247,26
learn python,Python tutorial,1,0,0,1,0.0,0
learn python,Learn Python fast,2,0,0,0,0.0,0
learn python,Python for beginners,3,1,39,1,0.003246753246753247,39
best laptop gaming,Laptop A review,1,1,4,1,0.003355704697986577,4
best laptop gaming,Laptop B specs,2,1,13,1,0.003355704697986577,13
best laptop gaming,Top gaming laptops,3,0,0,1,0.0,0
learn python,Python tutorial,1,0,0,1,0.0,0
learn python,Learn Python fast,2,0,0,0,0.0,0
learn python,Python for beginners,3,1,40,1,0.003246753246753247,40
learn python,Python tutorial,1,0,0,1,0.0,0
learn python,Learn Python fast,2,1,58,1,0.003246753246753247,58
learn python,Python for beginners,3,0,0,0,0.0,0
best laptop gaming,Laptop A review,1,0,0,0,0.0,0
best laptop gaming,Laptop B specs,2,0,0,0,0.0,0
best laptop gaming,Top gaming laptops,3,0,0,1,0.0,0
weather new york,NYC weather today,1,0,0,0,0.0,0
weather new york,Weather forecast,2,1,47,1,0.0033112582781456954,47
weather new york,New York climate,3,1,10,1,0.0033112582781456954,10
weather new york,NYC weather today,1,0,0,1,0.0,0
weather new york,Weather forecast,2,0,0,1,0.0,0
weather new york,New York climate,3,0,0,1,0.0,0
best programming languages 2025,Best languages to learn,1,1,50,1,0.0031545741324921135,50
best programming languages 2025,Top programming languages,2,0,0,1,0.0,0
best programming languages 2025,Most in-demand coding skills,3,1,55,1,0.0031545741324921135,55
best laptop gaming,Laptop A review,1,1,15,1,0.003355704697986577,15
best laptop gaming,Laptop B specs,2,0,0,0,0.0,0
best laptop gaming,Top gaming laptops,3,1,55,1,0.003355704697986577,55
best programming languages 2025,Best languages to learn,1,0,0,0,0.0,0
best programming languages 2025,Top programming languages,2,1,4,1,0.0031545741324921135,4
best programming languages 2025,Most in-demand coding skills,3,0,0,1,0.0,0
cheap flights tokyo,Flight deals to Tokyo,1,0,0,0,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,1,47,1,0.003246753246753247,47
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0
weather new york,NYC weather today,1,0,0,1,0.0,0
weather new york,Weather forecast,2,0,0,1,0.0,0
weather new york,New York climate,3,1,10,1,0.0033112582781456954,10
weather new york,NYC weather today,1,0,0,0,0.0,0
weather new york,Weather forecast,2,0,0,0,0.0,0
weather new york,New York climate,3,0,0,1,0.0,0
weather new york,NYC weather today,1,0,0,1,0.0,0
weather new york,Weather forecast,2,0,0,1,0.0,0
weather new york,New York climate,3,0,0,0,0.0,0
learn python,Python tutorial,1,1,41,1,0.003246753246753247,41
learn python,Learn Python fast,2,0,0,0,0.0,0
learn python,Python for beginners,3,0,0,1,0.0,0
best laptop gaming,Laptop A review,1,1,41,1,0.003355704697986577,41
best laptop gaming,Laptop B specs,2,0,0,0,0.0,0
best laptop gaming,Top gaming laptops,3,0,0,0,0.0,0
best laptop gaming,Laptop A review,1,1,15,1,0.003355704697986577,15
best laptop gaming,Laptop B specs,2,1,25,1,0.003355704697986577,25
best laptop gaming,Top gaming laptops,3,1,22,1,0.003355704697986577,22
cheap flights tokyo,Flight deals to Tokyo,1,0,0,0,0.0,0
cheap flights tokyo,Cheapest Tokyo flights,2,0,0,1,0.0,0
cheap flights tokyo,Best airlines to Japan,3,0,0,0,0.0,0
best laptop gaming,Laptop A review,1,1,9,1,0.003355704697986577,9
best laptop gaming,Laptop B specs,2,1,38,1,0.003355704697986577,38
best laptop gaming,Top gaming laptops,3,0,0,1,0.0,0
